[21.09.2019 22:03:27.209]  *** Init session ***
[21.09.2019 22:03:27.344]  Write: 58,49,49,150,1,152,153,154,155,1,244,197,37,58,13,10
[21.09.2019 22:03:27.389]  Read: 58,49,49,150,1,152,153,154,155,1,244,197,37,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.398]  Write: 58,49,49,150,1,152,153,154,155,1,200,191,58,13,10
[21.09.2019 22:03:27.424]  Read: 58,49,49,150,1,152,153,154,155,1,200,191,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.436]  Write: 58,49,49,150,2,152,153,154,155,1,129,58,13,10
[21.09.2019 22:03:27.456]  Read: 58,49,49,150,2,152,153,154,155,1,129,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.467]  Write: 58,49,49,150,3,152,153,154,155,1,172,35,58,13,10
[21.09.2019 22:03:27.488]  Read: 58,49,49,150,3,152,153,154,155,1,172,35,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.500]  Write: 58,49,49,150,4,152,153,154,155,1,72,219,58,13,10
[21.09.2019 22:03:27.521]  Read: 58,49,49,150,4,152,153,154,155,1,72,219,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.533]  Write: 58,49,49,150,5,152,153,154,155,1,253,39,44,133,58,13,10
[21.09.2019 22:03:27.553]  Read: 58,49,49,150,5,152,153,154,155,1,253,39,44,133,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.574]  Write: 58,49,49,150,6,152,153,154,155,1,22,226,85,58,13,10
[21.09.2019 22:03:27.600]  Read: 58,49,49,150,6,152,153,154,155,1,22,226,85,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.608]  Write: 58,49,49,150,7,152,153,154,155,1,60,107,220,58,13,10
[21.09.2019 22:03:27.632]  Read: 58,49,49,150,7,152,153,154,155,1,60,107,220,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.640]  Write: 58,49,49,150,8,152,153,154,155,1,113,123,178,58,13,10
[21.09.2019 22:03:27.664]  Read: 58,49,49,150,8,152,153,154,155,1,113,123,178,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.672]  Write: 58,49,49,150,9,152,153,154,155,1,162,58,13,10
[21.09.2019 22:03:27.696]  Read: 58,49,49,150,9,152,153,154,155,1,162,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.705]  Write: 58,49,49,150,10,152,153,154,155,1,135,121,58,13,10
[21.09.2019 22:03:27.728]  Read: 58,49,49,150,10,152,153,154,155,1,135,121,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.736]  Write: 58,49,49,150,11,152,153,154,155,1,165,69,244,58,13,10
[21.09.2019 22:03:27.760]  Read: 58,49,49,150,11,152,153,154,155,1,165,69,244,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.772]  Write: 58,49,49,150,12,152,153,154,155,1,43,133,51,58,13,10
[21.09.2019 22:03:27.792]  Read: 58,49,49,150,12,152,153,154,155,1,43,133,51,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.805]  Write: 58,49,49,150,13,152,153,154,155,1,152,46,204,62,58,13,10
[21.09.2019 22:03:27.824]  Read: 58,49,49,150,13,152,153,154,155,1,152,46,204,62,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.836]  Write: 58,49,49,150,14,152,153,154,155,1,54,58,13,10
[21.09.2019 22:03:27.856]  Read: 58,49,49,150,14,152,153,154,155,1,54,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.865]  Write: 58,49,49,150,15,152,153,154,155,1,23,177,35,58,58,13,10
[21.09.2019 22:03:27.888]  Read: 58,49,49,150,15,152,153,154,155,1,23,177,35,58,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.896]  Write: 58,49,49,150,16,152,153,154,155,1,53,142,34,106,58,13,10
[21.09.2019 22:03:27.920]  Read: 58,49,49,150,16,152,153,154,155,1,53,142,34,106,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.928]  Write: 58,49,49,150,17,152,153,154,155,1,253,58,13,10
[21.09.2019 22:03:27.952]  Read: 58,49,49,150,17,152,153,154,155,1,253,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.960]  Write: 58,49,49,150,18,152,153,154,155,1,226,188,238,58,13,10
[21.09.2019 22:03:27.984]  Read: 58,49,49,150,18,152,153,154,155,1,226,188,238,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:27.995]  Write: 58,49,49,150,19,152,153,154,155,1,204,236,104,58,13,10
[21.09.2019 22:03:28.016]  Read: 58,49,49,150,19,152,153,154,155,1,204,236,104,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.024]  Write: 58,49,49,150,20,152,153,154,155,1,102,136,200,58,13,10
[21.09.2019 22:03:28.048]  Read: 58,49,49,150,20,152,153,154,155,1,102,136,200,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.056]  Write: 58,49,49,150,21,152,153,154,155,1,144,58,13,10
[21.09.2019 22:03:28.080]  Read: 58,49,49,150,21,152,153,154,155,1,144,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.090]  Write: 58,49,49,150,22,152,153,154,155,1,149,255,58,13,10
[21.09.2019 22:03:28.112]  Read: 58,49,49,150,22,152,153,154,155,1,149,255,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.120]  Write: 58,49,49,150,23,152,153,154,155,1,62,58,13,10
[21.09.2019 22:03:28.144]  Read: 58,49,49,150,23,152,153,154,155,1,62,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.155]  Write: 58,49,49,150,24,152,153,154,155,1,112,129,58,13,10
[21.09.2019 22:03:28.176]  Read: 58,49,49,150,24,152,153,154,155,1,112,129,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.186]  Write: 58,49,49,150,25,152,153,154,155,1,103,149,29,199,58,13,10
[21.09.2019 22:03:28.208]  Read: 58,49,49,150,25,152,153,154,155,1,103,149,29,199,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.247]  Write: 58,49,49,150,26,152,153,154,155,1,254,134,58,13,10
[21.09.2019 22:03:28.276]  Read: 58,49,49,150,26,152,153,154,155,1,254,134,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.287]  Write: 58,49,49,150,27,152,153,154,155,1,253,222,163,58,13,10
[21.09.2019 22:03:28.308]  Read: 58,49,49,150,27,152,153,154,155,1,253,222,163,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.317]  Write: 58,49,49,150,28,152,153,154,155,1,232,116,138,140,58,13,10
[21.09.2019 22:03:28.340]  Read: 58,49,49,150,28,152,153,154,155,1,232,116,138,140,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.355]  Write: 58,49,49,150,29,152,153,154,155,1,218,57,58,13,10
[21.09.2019 22:03:28.372]  Read: 58,49,49,150,29,152,153,154,155,1,218,57,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.385]  Write: 58,49,49,150,30,152,153,154,155,1,179,58,13,10
[21.09.2019 22:03:28.404]  Read: 58,49,49,150,30,152,153,154,155,1,179,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.428]  Write: 58,49,49,150,31,152,153,154,155,1,13,33,199,178,58,13,10
[21.09.2019 22:03:28.452]  Read: 58,49,49,150,31,152,153,154,155,1,13,33,199,178,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.474]  Write: 58,49,49,150,32,152,153,154,155,1,232,174,223,57,58,13,10
[21.09.2019 22:03:28.500]  Read: 58,49,49,150,32,152,153,154,155,1,232,174,223,57,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.511]  Write: 58,49,49,150,33,152,153,154,155,1,67,58,13,10
[21.09.2019 22:03:28.532]  Read: 58,49,49,150,33,152,153,154,155,1,67,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.542]  Write: 58,49,49,150,34,152,153,154,155,1,152,16,251,243,58,13,10
[21.09.2019 22:03:28.565]  Read: 58,49,49,150,34,152,153,154,155,1,152,16,251,243,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.573]  Write: 58,49,49,150,35,152,153,154,155,1,154,111,58,13,10
[21.09.2019 22:03:28.596]  Read: 58,49,49,150,35,152,153,154,155,1,154,111,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.605]  Write: 58,49,49,150,36,152,153,154,155,1,214,65,82,124,58,13,10
[21.09.2019 22:03:28.629]  Read: 58,49,49,150,36,152,153,154,155,1,214,65,82,124,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.645]  Write: 58,49,49,150,37,152,153,154,155,1,159,142,58,13,10
[21.09.2019 22:03:28.660]  Read: 58,49,49,150,37,152,153,154,155,1,159,142,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.670]  Write: 58,49,49,150,38,152,153,154,155,1,190,51,58,13,10
[21.09.2019 22:03:28.692]  Read: 58,49,49,150,38,152,153,154,155,1,190,51,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.728]  Write: 58,49,49,150,39,152,153,154,155,1,128,58,13,10
[21.09.2019 22:03:28.756]  Read: 58,49,49,150,39,152,153,154,155,1,128,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.764]  Write: 58,49,49,150,40,152,153,154,155,1,206,58,13,10
[21.09.2019 22:03:28.788]  Read: 58,49,49,150,40,152,153,154,155,1,206,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.810]  Write: 58,49,49,150,41,152,153,154,155,1,222,175,227,229,58,13,10
[21.09.2019 22:03:28.836]  Read: 58,49,49,150,41,152,153,154,155,1,222,175,227,229,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.849]  Write: 58,49,49,150,42,152,153,154,155,1,1,138,58,13,10
[21.09.2019 22:03:28.868]  Read: 58,49,49,150,42,152,153,154,155,1,1,138,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21.09.2019 22:03:28.876]  Write: 58,49,49,150,43,152,153,154,155,1,55,58,13,10
[21.09.2019 22:03:28.900]  Read: 58,49,49,150,43,152,153,154,155,1,55,58,13,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
